"Gene","gene_id","gene"
"LTBP1","ENSG00000049323","ENSG00000049323"
"H2ACP2","ENSG00000223951","ENSG00000223951"
"RNA5SP91","ENSG00000212204","ENSG00000212204"
"RNA5SP92","ENSG00000252246","ENSG00000252246"
"RASGRP3","ENSG00000152689","ENSG00000152689"
"FAM98A","ENSG00000119812","ENSG00000119812"
"ATP6V0E1P3","ENSG00000238038","ENSG00000238038"
"HNRNPA1P61","ENSG00000187999","ENSG00000187999"
"MYADML","ENSG00000239649","ENSG00000239649"
"SLC25A5P2","ENSG00000235064","ENSG00000235064"
"SMIM7P1","ENSG00000196085","ENSG00000196085"
"ENSG00000229013",NA,"ENSG00000229013"
"MRPL50P1","ENSG00000234587","ENSG00000234587"
"RPL21P36","ENSG00000278476","ENSG00000278476"
"CRIM1","ENSG00000277354","ENSG00000277354"
"FEZ2","ENSG00000171055","ENSG00000171055"
"RACK1P2","ENSG00000270677","ENSG00000270677"
"VIT","ENSG00000205221","ENSG00000205221"
"STRN","ENSG00000115808","ENSG00000115808"
"HEATR5B","ENSG00000008869","ENSG00000008869"
"GPATCH11","ENSG00000152133","ENSG00000152133"
"EIF2AK2","ENSG00000055332","ENSG00000055332"
"ARL14EPP1","ENSG00000224891","ENSG00000224891"
"SULT6B1","ENSG00000138068","ENSG00000138068"
"RPL31P16","ENSG00000233159","ENSG00000233159"
"CEBPZOS","ENSG00000218739","ENSG00000218739"
"CEBPZ","ENSG00000115816","ENSG00000115816"
"NDUFAF7","ENSG00000003509","ENSG00000003509"
"PRKD3","ENSG00000115825","ENSG00000115825"
"QPCT","ENSG00000115828","ENSG00000115828"
"CDC42EP3","ENSG00000163171","ENSG00000163171"
"ENSG00000225402",NA,"ENSG00000225402"
"RMDN2","ENSG00000115841","ENSG00000115841"
"CYP1B1","ENSG00000138061","ENSG00000138061"
"RPL7P12","ENSG00000227770","ENSG00000227770"
"GAPDHP25","ENSG00000213594","ENSG00000213594"
"ATL2","ENSG00000119787","ENSG00000119787"
"RPLP0P6","ENSG00000213553","ENSG00000213553"
"ENSG00000271443",NA,"ENSG00000271443"
"HNRNPLL","ENSG00000143889","ENSG00000143889"
"GALM","ENSG00000143891","ENSG00000143891"
"SRSF7","ENSG00000115875","ENSG00000115875"
"GEMIN6","ENSG00000152147","ENSG00000152147"
"TTC39DP","ENSG00000227238","ENSG00000227238"
"NPLP1","ENSG00000232114","ENSG00000232114"
"DHX57","ENSG00000163214","ENSG00000163214"
"ASS1P2","ENSG00000223922","ENSG00000223922"
"MORN2","ENSG00000188010","ENSG00000188010"
"ARHGEF33","ENSG00000214694","ENSG00000214694"
"SOS1","ENSG00000115904","ENSG00000115904"
"HSPE1P13","ENSG00000225900","ENSG00000225900"
"CDKL4","ENSG00000205111","ENSG00000205111"
"MAP4K3","ENSG00000011566","ENSG00000011566"
"TMEM178A","ENSG00000152154","ENSG00000152154"
"THUMPD2","ENSG00000138050","ENSG00000138050"
"ENSG00000235653",NA,"ENSG00000235653"
"SLC8A1","ENSG00000183023","ENSG00000183023"
"HNRNPA1P57","ENSG00000237442","ENSG00000237442"
"LDHAP3","ENSG00000236090","ENSG00000236090"
"RPS12P4","ENSG00000236533","ENSG00000236533"
"LINC02898","ENSG00000205086","ENSG00000205086"
"PKDCC","ENSG00000162878","ENSG00000162878"
"EML4","ENSG00000143924","ENSG00000143924"
"COX7A2L","ENSG00000115944","ENSG00000115944"
"KCNG3","ENSG00000171126","ENSG00000171126"
"VDAC1P13","ENSG00000232526","ENSG00000232526"
"RPS13P3","ENSG00000236913","ENSG00000236913"
"MTA3","ENSG00000057935","ENSG00000057935"
"ENSG00000215263",NA,"ENSG00000215263"
"ENSG00000226523",NA,"ENSG00000226523"
"OXER1","ENSG00000162881","ENSG00000162881"
"HAAO","ENSG00000162882","ENSG00000162882"
"FTOP1","ENSG00000226491","ENSG00000226491"
"CHORDC1P1","ENSG00000232202","ENSG00000232202"
"ZFP36L2","ENSG00000152518","ENSG00000152518"
"THADA","ENSG00000115970","ENSG00000115970"
"PLEKHH2","ENSG00000152527","ENSG00000152527"
"C1GALT1C1L","ENSG00000223658","ENSG00000223658"
"ENSG00000229695",NA,"ENSG00000229695"
"DYNC2LI1","ENSG00000138036","ENSG00000138036"
"ABCG5","ENSG00000138075","ENSG00000138075"
"ABCG8","ENSG00000143921","ENSG00000143921"
"LRPPRC","ENSG00000138095","ENSG00000138095"
"ENSG00000219391",NA,"ENSG00000219391"
"PDSS1P2","ENSG00000224637","ENSG00000224637"
"PPM1B","ENSG00000138032","ENSG00000138032"
"ENSG00000285542",NA,"ENSG00000285542"
"RPL12P19","ENSG00000226972","ENSG00000226972"
"SLC3A1","ENSG00000138079","ENSG00000138079"
"PREPL","ENSG00000138078","ENSG00000138078"
"CAMKMT","ENSG00000143919","ENSG00000143919"
"SIX3","ENSG00000138083","ENSG00000138083"
"KRTCAP2P1","ENSG00000231848","ENSG00000231848"
"SIX2","ENSG00000170577","ENSG00000170577"
"SRBD1","ENSG00000068784","ENSG00000068784"
"PRKCE","ENSG00000171132","ENSG00000171132"
"RPL26P15","ENSG00000233829","ENSG00000233829"
"RPL36AP14","ENSG00000233335","ENSG00000233335"
"EPAS1","ENSG00000116016","ENSG00000116016"
"TMEM247","ENSG00000284701","ENSG00000284701"
"ATP6V1E2","ENSG00000250565","ENSG00000250565"
"RHOQ","ENSG00000119729","ENSG00000119729"
"PIGF","ENSG00000151665","ENSG00000151665"
"CRIPT","ENSG00000119878","ENSG00000119878"
"SOCS5","ENSG00000171150","ENSG00000171150"
"MCFD2","ENSG00000180398","ENSG00000180398"
"TTC7A","ENSG00000068724","ENSG00000068724"
"STPG4","ENSG00000239605","ENSG00000239605"
"ENSG00000273269",NA,"ENSG00000273269"
"CALM2","ENSG00000143933","ENSG00000143933"
"EPCAM","ENSG00000119888","ENSG00000119888"
"MSH2","ENSG00000095002","ENSG00000095002"
"KCNK12","ENSG00000184261","ENSG00000184261"
"ENSG00000230979",NA,"ENSG00000230979"
"MSH6","ENSG00000116062","ENSG00000116062"
"NME2P2","ENSG00000224443","ENSG00000224443"
"ENSG00000224058",NA,"ENSG00000224058"
"FBXO11","ENSG00000138081","ENSG00000138081"
"RPL36AP15","ENSG00000235369","ENSG00000235369"
"RPS27AP7","ENSG00000236549","ENSG00000236549"
"PPIAP62","ENSG00000226473","ENSG00000226473"
"VN1R18P","ENSG00000275423","ENSG00000275423"
"FOXN2","ENSG00000170802","ENSG00000170802"
"PPP1R21","ENSG00000162869","ENSG00000162869"
"STON1","ENSG00000243244","ENSG00000243244"
"STON1-GTF2A1L","ENSG00000068781","ENSG00000068781"
"GTF2A1L","ENSG00000242441","ENSG00000242441"
"ENSG00000279956",NA,"ENSG00000279956"
"TPT1P11","ENSG00000239995","ENSG00000239995"
"LHCGR","ENSG00000138039","ENSG00000138039"
"ELOBP3","ENSG00000232285","ENSG00000232285"
"CTBP2P5","ENSG00000214602","ENSG00000214602"
"FSHR","ENSG00000170820","ENSG00000170820"
"RPL7P13","ENSG00000234253","ENSG00000234253"
"NRXN1","ENSG00000179915","ENSG00000179915"
"MT-MTCO1P42",NA,"MT-MTCO1P42"
"ENSG00000238165",NA,"ENSG00000238165"
"KNOP1P3","ENSG00000224344","ENSG00000224344"
"CRYGGP","ENSG00000223710","ENSG00000223710"
"ENSG00000230840",NA,"ENSG00000230840"
"CCDC12P1","ENSG00000226366","ENSG00000226366"
"ZNF863P","ENSG00000236538","ENSG00000236538"
"GGCTP3","ENSG00000225842","ENSG00000225842"
"CRTC1P1","ENSG00000204993","ENSG00000204993"
"FTH1P6","ENSG00000233083","ENSG00000233083"
"ENSG00000232668",NA,"ENSG00000232668"
"ENSG00000223897",NA,"ENSG00000223897"
"ASB3","ENSG00000115239","ENSG00000115239"
"ENSG00000270898",NA,"ENSG00000270898"
"CHAC2","ENSG00000143942","ENSG00000143942"
"ERLEC1","ENSG00000068912","ENSG00000068912"
"GPR75","ENSG00000119737","ENSG00000119737"
"PSME4","ENSG00000068878","ENSG00000068878"
"ACYP2","ENSG00000170634","ENSG00000170634"
"RPL21P30","ENSG00000235937","ENSG00000235937"
"HMGB1P31","ENSG00000233266","ENSG00000233266"
"ENSG00000241114",NA,"ENSG00000241114"
"TSPYL6","ENSG00000178021","ENSG00000178021"
"C2orf73","ENSG00000177994","ENSG00000177994"
"SPTBN1","ENSG00000115306","ENSG00000115306"
"RPL23AP32","ENSG00000237887","ENSG00000237887"
"EML6","ENSG00000214595","ENSG00000214595"
"RTN4","ENSG00000115310","ENSG00000115310"
"CLHC1","ENSG00000162994","ENSG00000162994"
"CDPF1P1","ENSG00000227799","ENSG00000227799"
"RPS27A","ENSG00000143947","ENSG00000143947"
"MTIF2","ENSG00000085760","ENSG00000085760"
"PRORSD1P","ENSG00000162997","ENSG00000162997"
"CCDC88A","ENSG00000115355","ENSG00000115355"
"BTF3P5","ENSG00000233594","ENSG00000233594"
"CFAP36","ENSG00000163001","ENSG00000163001"
"PPP4R3B","ENSG00000275052","ENSG00000275052"
"PNPT1","ENSG00000138035","ENSG00000138035"
"EFEMP1","ENSG00000115380","ENSG00000115380"
"CCDC85A","ENSG00000055813","ENSG00000055813"
"RNA5SP93","ENSG00000199395","ENSG00000199395"
"PPIAP63","ENSG00000231570","ENSG00000231570"
"EIF2S2P7","ENSG00000271115","ENSG00000271115"
"ENSG00000270569",NA,"ENSG00000270569"
"ACTG1P22","ENSG00000271615","ENSG00000271615"
"VRK2","ENSG00000028116","ENSG00000028116"
"FANCL","ENSG00000115392","ENSG00000115392"
"EIF3FP3","ENSG00000233426","ENSG00000233426"
"ENSG00000231043",NA,"ENSG00000231043"
"ENSG00000270447",NA,"ENSG00000270447"
"RNA5SP94","ENSG00000252726","ENSG00000252726"
"BCL11A","ENSG00000119866","ENSG00000119866"
"IFITM3P9","ENSG00000271134","ENSG00000271134"
"RPL26P13","ENSG00000213495","ENSG00000213495"
"ATP1B3P1","ENSG00000271707","ENSG00000271707"
"PAPOLG","ENSG00000115421","ENSG00000115421"
"RPL21P33","ENSG00000237024","ENSG00000237024"
"REL","ENSG00000162924","ENSG00000162924"
"NONOP2","ENSG00000237522","ENSG00000237522"
"RPS12P3","ENSG00000232713","ENSG00000232713"
"PUS10","ENSG00000162927","ENSG00000162927"
"RNA5SP95","ENSG00000222251","ENSG00000222251"
"PEX13","ENSG00000162928","ENSG00000162928"
"SANBR","ENSG00000162929","ENSG00000162929"
"C2orf74","ENSG00000237651","ENSG00000237651"
"AHSA2P","ENSG00000173209","ENSG00000173209"
"USP34","ENSG00000115464","ENSG00000115464"
"ENSG00000271146",NA,"ENSG00000271146"
"ENSG00000234624",NA,"ENSG00000234624"
"XPO1","ENSG00000082898","ENSG00000082898"
"ENSG00000271243",NA,"ENSG00000271243"
"RPS29P10","ENSG00000226884","ENSG00000226884"
"ENSG00000213486",NA,"ENSG00000213486"
"RPS24P7","ENSG00000227361","ENSG00000227361"
"ENSG00000229831",NA,"ENSG00000229831"
"FAM161A","ENSG00000170264","ENSG00000170264"
"RPL31P30","ENSG00000230702","ENSG00000230702"
"ENSG00000277498",NA,"ENSG00000277498"
"CCT4","ENSG00000115484","ENSG00000115484"
"COMMD1","ENSG00000173163","ENSG00000173163"
"RPSAP26","ENSG00000242735","ENSG00000242735"
"ENSG00000271657",NA,"ENSG00000271657"
"B3GNT2","ENSG00000170340","ENSG00000170340"
"ENSG00000270335",NA,"ENSG00000270335"
"TMEM17","ENSG00000186889","ENSG00000186889"
"RPL37P13","ENSG00000233702","ENSG00000233702"
"RPL21P37","ENSG00000229503","ENSG00000229503"
"PSAT1P2","ENSG00000232144","ENSG00000232144"
"RSL24D1P2","ENSG00000230595","ENSG00000230595"
"EHBP1","ENSG00000115504","ENSG00000115504"
"RPS20P9","ENSG00000237162","ENSG00000237162"
"OTX1","ENSG00000115507","ENSG00000115507"
"ENSG00000270437",NA,"ENSG00000270437"
"RPL27P5","ENSG00000232403","ENSG00000232403"
"DBIL5P2","ENSG00000242412","ENSG00000242412"
"WDPCP","ENSG00000143951","ENSG00000143951"
"MTFR2P1","ENSG00000233716","ENSG00000233716"
"MDH1","ENSG00000014641","ENSG00000014641"
"PRELID1P6","ENSG00000228305","ENSG00000228305"
"RPS4XP5","ENSG00000229920","ENSG00000229920"
"RPL27P6","ENSG00000234488","ENSG00000234488"
"CSP1","ENSG00000228872","ENSG00000228872"
"HNRNPA1P66","ENSG00000229221","ENSG00000229221"
"UGP2","ENSG00000169764","ENSG00000169764"
"VPS54","ENSG00000143952","ENSG00000143952"
"PELI1","ENSG00000197329","ENSG00000197329"
"ENSG00000270354",NA,"ENSG00000270354"
"RPL23AP37","ENSG00000236148","ENSG00000236148"
"ENSG00000237217",NA,"ENSG00000237217"
"LGALSL","ENSG00000119862","ENSG00000119862"
"AFTPH","ENSG00000119844","ENSG00000119844"
"SERTAD2","ENSG00000179833","ENSG00000179833"
"RPS10P9","ENSG00000227791","ENSG00000227791"
"RPL11P1","ENSG00000227394","ENSG00000227394"
"SLC1A4","ENSG00000115902","ENSG00000115902"
"CEP68","ENSG00000011523","ENSG00000011523"
"RAB1A","ENSG00000138069","ENSG00000138069"
"ENSG00000273763",NA,"ENSG00000273763"
"VDAC2P5","ENSG00000172974","ENSG00000172974"
"ACTR2","ENSG00000138071","ENSG00000138071"
"SPRED2","ENSG00000198369","ENSG00000198369"
"DNAJB12P1","ENSG00000237979","ENSG00000237979"
"RPS15AP15","ENSG00000223739","ENSG00000223739"
"KRT18P33","ENSG00000214533","ENSG00000214533"
"MEIS1","ENSG00000143995","ENSG00000143995"
"DNMT3AP1","ENSG00000224071","ENSG00000224071"
"ENSG00000230355",NA,"ENSG00000230355"
"ETAA1","ENSG00000143971","ENSG00000143971"
"FBXL12P1","ENSG00000235968","ENSG00000235968"
"C1D","ENSG00000197223","ENSG00000197223"
"ENSG00000284932",NA,"ENSG00000284932"
"DNAAF10","ENSG00000243667","ENSG00000243667"
"PPIAP64","ENSG00000236259","ENSG00000236259"
"ENSG00000273398",NA,"ENSG00000273398"
"PNO1","ENSG00000115946","ENSG00000115946"
"PPP3R1","ENSG00000221823","ENSG00000221823"
"CNRIP1","ENSG00000119865","ENSG00000119865"
"PLEK","ENSG00000115956","ENSG00000115956"
"WDR4P2","ENSG00000229462","ENSG00000229462"
"FBXO48","ENSG00000204923","ENSG00000204923"
"APLF","ENSG00000169621","ENSG00000169621"
"ENSG00000214525",NA,"ENSG00000214525"
"PROKR1","ENSG00000169618","ENSG00000169618"
"ARHGAP25","ENSG00000163219","ENSG00000163219"
"BMP10","ENSG00000163217","ENSG00000163217"
"GKN3P","ENSG00000283586","ENSG00000283586"
"GKN2","ENSG00000183607","ENSG00000183607"
"GKN1","ENSG00000169605","ENSG00000169605"
"ANTXR1","ENSG00000169604","ENSG00000169604"
"RNA5SP96","ENSG00000251850","ENSG00000251850"
"ENSG00000271597",NA,"ENSG00000271597"
"GFPT1","ENSG00000198380","ENSG00000198380"
"NFU1","ENSG00000169599","ENSG00000169599"
"AAK1","ENSG00000115977","ENSG00000115977"
"RPL36AP16","ENSG00000232228","ENSG00000232228"
"B3GALNT1P1","ENSG00000229948","ENSG00000229948"
"ANXA4","ENSG00000196975","ENSG00000196975"
"GMCL1","ENSG00000087338","ENSG00000087338"
"ENSG00000275381",NA,"ENSG00000275381"
"RPL23AP92","ENSG00000270723","ENSG00000270723"
"SNRNP27","ENSG00000124380","ENSG00000124380"
"MXD1","ENSG00000059728","ENSG00000059728"
"ASPRV1","ENSG00000244617","ENSG00000244617"
"PCBP1","ENSG00000169564","ENSG00000169564"
"MRPL36P1","ENSG00000225392","ENSG00000225392"
"C2orf42","ENSG00000115998","ENSG00000115998"
"TIA1","ENSG00000116001","ENSG00000116001"
"RPL39P15","ENSG00000231414","ENSG00000231414"
"PCYOX1","ENSG00000116005","ENSG00000116005"
"SNRPG","ENSG00000143977","ENSG00000143977"
"FAM136A","ENSG00000035141","ENSG00000035141"
"BRD7P6","ENSG00000235289","ENSG00000235289"
"TGFA","ENSG00000163235","ENSG00000163235"
"ADD2","ENSG00000075340","ENSG00000075340"
"FIGLA","ENSG00000183733","ENSG00000183733"
"HMGN2P21","ENSG00000228034","ENSG00000228034"
"CLEC4F","ENSG00000152672","ENSG00000152672"
"MOB4P1","ENSG00000231386","ENSG00000231386"
"CD207","ENSG00000116031","ENSG00000116031"
"VAX2","ENSG00000116035","ENSG00000116035"
"ATP6V1B1","ENSG00000116039","ENSG00000116039"
"ENSG00000258881",NA,"ENSG00000258881"
"ELOCP21","ENSG00000226186","ENSG00000226186"
"ANKRD53","ENSG00000144031","ENSG00000144031"
"TEX261","ENSG00000144043","ENSG00000144043"
"OR7E91P","ENSG00000205847","ENSG00000205847"
"OR7E46P","ENSG00000234485","ENSG00000234485"
"OR7E62P","ENSG00000234896","ENSG00000234896"
"NAGK","ENSG00000124357","ENSG00000124357"
"MCEE","ENSG00000124370","ENSG00000124370"
"MPHOSPH10","ENSG00000124383","ENSG00000124383"
"ENSG00000233870",NA,"ENSG00000233870"
"PAIP2B","ENSG00000124374","ENSG00000124374"
"ZNF638","ENSG00000075292","ENSG00000075292"
"DYSF","ENSG00000135636","ENSG00000135636"
"RPS20P10","ENSG00000233971","ENSG00000233971"
"CYP26B1","ENSG00000003137","ENSG00000003137"
"EXOC6B","ENSG00000144036","ENSG00000144036"
"RPS15AP13","ENSG00000228568","ENSG00000228568"
"SPR","ENSG00000116096","ENSG00000116096"
"EMX1","ENSG00000135638","ENSG00000135638"
"SFXN5","ENSG00000144040","ENSG00000144040"
"RAB11FIP5","ENSG00000135631","ENSG00000135631"
"NOTO","ENSG00000214513","ENSG00000214513"
"SMYD5","ENSG00000135632","ENSG00000135632"
"PRADC1","ENSG00000135617","ENSG00000135617"
"CCT7","ENSG00000135624","ENSG00000135624"
"FBXO41","ENSG00000163013","ENSG00000163013"
"EGR4","ENSG00000135625","ENSG00000135625"
"RPSAP28","ENSG00000214484","ENSG00000214484"
"ALMS1","ENSG00000116127","ENSG00000116127"
"NAT8","ENSG00000144035","ENSG00000144035"
"ALMS1P1","ENSG00000163016","ENSG00000163016"
"NAT8B","ENSG00000204872","ENSG00000204872"
"TPRKB","ENSG00000144034","ENSG00000144034"
"DUSP11","ENSG00000144048","ENSG00000144048"
"C2orf78","ENSG00000187833","ENSG00000187833"
"STAMBP","ENSG00000124356","ENSG00000124356"
"ENSG00000271536",NA,"ENSG00000271536"
"ACTG2","ENSG00000163017","ENSG00000163017"
"DGUOK","ENSG00000114956","ENSG00000114956"
"RNA5SP97","ENSG00000201876","ENSG00000201876"
"TET3","ENSG00000187605","ENSG00000187605"
"FNBP1P1","ENSG00000257800","ENSG00000257800"
"BOLA3","ENSG00000163170","ENSG00000163170"
"MOB1A","ENSG00000114978","ENSG00000114978"
"MTHFD2","ENSG00000065911","ENSG00000065911"
"ENSG00000264324",NA,"ENSG00000264324"
"SLC4A5","ENSG00000188687","ENSG00000188687"
"KRT18P26","ENSG00000229798","ENSG00000229798"
"NECAP1P2","ENSG00000234632","ENSG00000234632"
"TAF13P2","ENSG00000225658","ENSG00000225658"
"DCTN1","ENSG00000204843","ENSG00000204843"
"ENSG00000159239",NA,"ENSG00000159239"
"ENSG00000234521",NA,"ENSG00000234521"
"C2orf81","ENSG00000284308","ENSG00000284308"
"HMGA1P8","ENSG00000233155","ENSG00000233155"
"WDR54","ENSG00000005448","ENSG00000005448"
"RTKN","ENSG00000114993","ENSG00000114993"
"INO80B","ENSG00000115274","ENSG00000115274"
"INO80B-WBP1","ENSG00000274049","ENSG00000274049"
"WBP1","ENSG00000239779","ENSG00000239779"
"MOGS","ENSG00000115275","ENSG00000115275"
"MRPL53","ENSG00000204822","ENSG00000204822"
"CCDC142","ENSG00000135637","ENSG00000135637"
"TTC31","ENSG00000115282","ENSG00000115282"
"LBX2","ENSG00000179528","ENSG00000179528"
"PCGF1","ENSG00000115289","ENSG00000115289"
"TLX2","ENSG00000115297","ENSG00000115297"
"DQX1","ENSG00000144045","ENSG00000144045"
"AUP1","ENSG00000115307","ENSG00000115307"
"HTRA2","ENSG00000115317","ENSG00000115317"
"LOXL3","ENSG00000115318","ENSG00000115318"
"DOK1","ENSG00000115325","ENSG00000115325"
"M1AP","ENSG00000159374","ENSG00000159374"
"TOR1BP1","ENSG00000233872","ENSG00000233872"
"TVP23BP2","ENSG00000108442","ENSG00000108442"
"SEMA4F","ENSG00000135622","ENSG00000135622"
"RPS28P5","ENSG00000224646","ENSG00000224646"
"HK2","ENSG00000159399","ENSG00000159399"
"POLE4","ENSG00000115350","ENSG00000115350"
"TACR1","ENSG00000115353","ENSG00000115353"
"GAPDHP57","ENSG00000236167","ENSG00000236167"
"EVA1A","ENSG00000115363","ENSG00000115363"
"ENSG00000230477",NA,"ENSG00000230477"
"MRPL19","ENSG00000115364","ENSG00000115364"
"SUPT4H1P1","ENSG00000226247","ENSG00000226247"
"GCFC2","ENSG00000005436","ENSG00000005436"
"SUCLA2P2","ENSG00000233107","ENSG00000233107"
"PNPP1","ENSG00000228209","ENSG00000228209"
"USP21P2","ENSG00000271356","ENSG00000271356"
"LRRTM4","ENSG00000176204","ENSG00000176204"
"RNA5SP98","ENSG00000200028","ENSG00000200028"
"RPL38P2","ENSG00000237077","ENSG00000237077"
"CYCSP6","ENSG00000214429","ENSG00000214429"
"ENSG00000270470",NA,"ENSG00000270470"
"REG3G","ENSG00000143954","ENSG00000143954"
"REG1B","ENSG00000172023","ENSG00000172023"
"REG1A","ENSG00000115386","ENSG00000115386"
"REG1CP","ENSG00000204787","ENSG00000204787"
"REG3A","ENSG00000172016","ENSG00000172016"
"CTNNA2","ENSG00000066032","ENSG00000066032"
"ENSG00000277171",NA,"ENSG00000277171"
"GNA13P1","ENSG00000230237","ENSG00000230237"
"RBM7P1","ENSG00000223427","ENSG00000223427"
"LRRTM1","ENSG00000162951","ENSG00000162951"
"ANKRD11P1","ENSG00000234429","ENSG00000234429"
"CHMP4AP1","ENSG00000231722","ENSG00000231722"
"RNA5SP99","ENSG00000200890","ENSG00000200890"
"MT-ENSG00000233444",NA,"MT-ENSG00000233444"
"LYARP1","ENSG00000229560","ENSG00000229560"
"RBX1P1","ENSG00000226860","ENSG00000226860"
"MT-MTND4P25",NA,"MT-MTND4P25"
"MT-MTND5P27",NA,"MT-MTND5P27"
"MT-MTND6P7",NA,"MT-MTND6P7"
"MT-MTCYBP7",NA,"MT-MTCYBP7"
"DHFRP3","ENSG00000168129","ENSG00000168129"
"ENSG00000223977",NA,"ENSG00000223977"
"RPL37P10","ENSG00000224627","ENSG00000224627"
"CRLF3P3","ENSG00000228225","ENSG00000228225"
"ST6GALNAC2P1","ENSG00000228902","ENSG00000228902"
"FUNDC2P2","ENSG00000182814","ENSG00000182814"
"SUCLG1","ENSG00000163541","ENSG00000163541"
"DNAH6","ENSG00000115423","ENSG00000115423"
"DUXAP1","ENSG00000259056","ENSG00000259056"
"LDHAP7","ENSG00000235847","ENSG00000235847"
"TRABD2A","ENSG00000186854","ENSG00000186854"
"ENSG00000276362",NA,"ENSG00000276362"
"RPL12P18","ENSG00000213400","ENSG00000213400"
"TMSB10","ENSG00000034510","ENSG00000034510"
"RPS2P17","ENSG00000213399","ENSG00000213399"
"KCMF1","ENSG00000176407","ENSG00000176407"
"ENSG00000235463",NA,"ENSG00000235463"
"LSM3P3","ENSG00000225787","ENSG00000225787"
"TCF7L1","ENSG00000152284","ENSG00000152284"
"SNRPEP11","ENSG00000230299","ENSG00000230299"
"ENSG00000246575",NA,"ENSG00000246575"
"TGOLN2","ENSG00000152291","ENSG00000152291"
"PEBP1P2","ENSG00000270532","ENSG00000270532"
"RETSAT","ENSG00000042445","ENSG00000042445"
"ELMOD3","ENSG00000115459","ENSG00000115459"
"ENSG00000271014",NA,"ENSG00000271014"
"CAPG","ENSG00000042493","ENSG00000042493"
"SH2D6","ENSG00000152292","ENSG00000152292"
"RPSAP22","ENSG00000229648","ENSG00000229648"
"MAT2A","ENSG00000168906","ENSG00000168906"
"GGCX","ENSG00000115486","ENSG00000115486"
"VAMP8","ENSG00000118640","ENSG00000118640"
"VAMP5","ENSG00000168899","ENSG00000168899"
"RNF181","ENSG00000168894","ENSG00000168894"
"TMEM150A","ENSG00000168890","ENSG00000168890"
"USP39","ENSG00000168883","ENSG00000168883"
"C2orf68","ENSG00000168887","ENSG00000168887"
"SFTPB","ENSG00000168878","ENSG00000168878"
"GNLY","ENSG00000115523","ENSG00000115523"
"GPR160P1","ENSG00000203363","ENSG00000203363"
"ATOH8","ENSG00000168874","ENSG00000168874"
"ST3GAL5","ENSG00000115525","ENSG00000115525"
"POLR1A","ENSG00000068654","ENSG00000068654"
"PTCD3","ENSG00000132300","ENSG00000132300"
"IMMT","ENSG00000132305","ENSG00000132305"
"MRPL35","ENSG00000132313","ENSG00000132313"
"REEP1","ENSG00000068615","ENSG00000068615"
"KDM3A","ENSG00000115548","ENSG00000115548"
"CHMP3","ENSG00000115561","ENSG00000115561"
"RNF103-CHMP3","ENSG00000249884","ENSG00000249884"
"RNF103","ENSG00000239305","ENSG00000239305"
"RMND5A","ENSG00000153561","ENSG00000153561"
"CD8A","ENSG00000153563","ENSG00000153563"
"CD8B","ENSG00000172116","ENSG00000172116"
"ANAPC1P1","ENSG00000233673","ENSG00000233673"
"ENSG00000213605",NA,"ENSG00000213605"
"RGPD1","ENSG00000187627","ENSG00000187627"
"WBP1P1","ENSG00000231351","ENSG00000231351"
"NDUFB4P5","ENSG00000226114","ENSG00000226114"
"PLGLB1","ENSG00000183281","ENSG00000183281"
"ANAPC1P2","ENSG00000231259","ENSG00000231259"
"ENSG00000266931",NA,"ENSG00000266931"
"ANAPC1P3","ENSG00000230395","ENSG00000230395"
"ENSG00000204745",NA,"ENSG00000204745"
"CENPNP1","ENSG00000233671","ENSG00000233671"
"DBF4P3","ENSG00000271097","ENSG00000271097"
"IGKV3OR2-268","ENSG00000233999","ENSG00000233999"
"ENSG00000224881",NA,"ENSG00000224881"
"PAFAH1B1P1","ENSG00000214354","ENSG00000214354"
"RPS14P5","ENSG00000225933","ENSG00000225933"
"ANAPC1P4","ENSG00000234231","ENSG00000234231"
"PLGLB2","ENSG00000125551","ENSG00000125551"
"RGPD2","ENSG00000185304","ENSG00000185304"
"MT-MTATP8P2",NA,"MT-MTATP8P2"
"NDUFB4P7","ENSG00000225428","ENSG00000225428"
"WBP1P2","ENSG00000233205","ENSG00000233205"
"ANAPC1P5","ENSG00000275597","ENSG00000275597"
"KRCC1","ENSG00000172086","ENSG00000172086"
"SMYD1","ENSG00000115593","ENSG00000115593"
"FABP1","ENSG00000163586","ENSG00000163586"
"THNSL2","ENSG00000144115","ENSG00000144115"
"MRPL45P1","ENSG00000232508","ENSG00000232508"
"RPL38P6","ENSG00000224291","ENSG00000224291"
"FOXI3","ENSG00000214336","ENSG00000214336"
"TEX37","ENSG00000172073","ENSG00000172073"
"EIF2AK3","ENSG00000172071","ENSG00000172071"
"RPIA","ENSG00000153574","ENSG00000153574"
"ANKRD36BP2","ENSG00000230006","ENSG00000230006"
"MALLP2","ENSG00000283270","ENSG00000283270"
"IGKC","ENSG00000211592","ENSG00000211592"
"IGKJ5","ENSG00000211593","ENSG00000211593"
"IGKJ4","ENSG00000211594","ENSG00000211594"
"IGKJ3","ENSG00000211595","ENSG00000211595"
"IGKJ2","ENSG00000211596","ENSG00000211596"
"IGKJ1","ENSG00000211597","ENSG00000211597"
"IGKV4-1","ENSG00000211598","ENSG00000211598"
"IGKV5-2","ENSG00000282172","ENSG00000282172"
"IGKV7-3","ENSG00000282050","ENSG00000282050"
"PGBD4P5","ENSG00000282699","ENSG00000282699"
